,x_val,y_val,data_channel
128037,317,153,119.0
267336,529,355,206.0
73349,213,257,87.0
117583,299,35,129.0
21440,85,125,104.0
229520,477,424,196.0
167302,385,276,138.0
21758,86,35,100.0
176485,399,632,156.0
166802,384,415,105.0
51668,165,127,129.0
188317,417,635,154.0
246322,500,529,196.0
92740,252,261,113.0
221143,465,683,182.0
148209,353,70,150.0
26103,97,712,87.0
175582,398,315,144.0
120809,304,488,100.0
99335,264,650,94.0
117565,299,15,100.0
265750,527,234,183.0
199169,434,25,139.0
128896,318,538,92.0
194769,427,411,119.0
58072,180,180,98.0
131503,323,195,116.0
167914,386,250,149.0
205895,443,678,161.0
99782,265,537,87.0
16277,71,327,94.0
192049,423,355,142.0
176643,400,84,94.0
130091,320,603,109.0
132916,325,533,115.0
271696,535,317,214.0
95529,257,445,87.0
28114,103,380,107.0
143385,344,570,113.0
208239,447,252,132.0
75368,217,378,170.0
1046,33,331,100.0
112393,289,475,118.0
150503,356,712,128.0
214142,455,700,176.0
238871,490,369,182.0
101732,269,286,107.0
82075,231,217,90.0
20793,83,338,92.0
10835,58,634,145.0
206112,444,170,113.0
187810,417,78,103.0
165519,382,356,141.0
76527,219,706,162.0
89881,246,512,94.0
200647,436,151,135.0
243,28,129,86.0
220462,464,710,183.0
250784,506,616,193.0
169688,389,109,135.0
5271,45,729,103.0
75597,218,6,100.0
114680,293,616,125.0
33229,117,138,98.0
247558,502,305,204.0
194050,426,357,180.0
63052,191,259,101.0
69595,205,215,134.0
30869,111,64,107.0
71757,209,721,86.0
101064,268,75,113.0
197675,431,640,125.0
78356,223,567,168.0
89630,246,157,104.0
78788,224,434,107.0
236089,486,486,161.0
82016,231,145,86.0
196877,430,504,90.0
22807,88,658,89.0
81788,230,552,98.0
64337,194,138,95.0
190343,420,649,142.0
245912,500,117,178.0
91850,250,465,125.0
212444,453,359,163.0
130708,321,666,90.0
52364,166,698,92.0
267123,529,142,187.0
264322,525,270,205.0
113255,291,155,113.0
87904,242,641,147.0
239442,491,211,171.0
182742,409,369,160.0
254279,511,461,194.0
269327,532,147,199.0
146309,349,620,105.0
88694,244,239,123.0
249741,505,297,196.0
256626,514,615,165.0
118328,300,264,179.0
237973,489,190,179.0
36071,124,582,125.0
56416,176,316,86.0
270291,533,378,172.0
218137,461,520,158.0
264333,525,281,199.0
175316,398,6,139.0
69254,204,402,134.0
218648,462,310,137.0
270786,534,140,217.0
14535,66,724,115.0
159541,372,432,121.0
191784,423,50,166.0
182961,409,616,131.0
92529,251,682,115.0
54575,172,138,89.0
71118,208,468,113.0
119440,302,233,199.0
38122,130,238,100.0
15917,70,425,107.0
194944,427,600,180.0
28735,105,212,98.0
141954,342,85,118.0
185812,414,65,157.0
128595,318,147,145.0
70704,207,554,94.0
180022,405,274,107.0
220448,464,696,179.0
161847,376,362,107.0
78046,223,105,150.0
23882,91,601,107.0
242824,495,681,129.0
120419,304,17,118.0
5716,47,81,94.0
105641,276,689,115.0
115520,295,255,131.0
38099,130,192,96.0
205937,443,721,122.0
198302,432,579,100.0
27534,101,634,98.0
161267,375,391,112.0
220947,465,482,137.0
258134,516,662,156.0
172423,393,338,144.0
211683,452,268,105.0
116143,296,359,92.0
53348,169,184,142.0
6035,47,654,87.0
228120,475,475,138.0
92389,251,461,105.0
45743,150,135,96.0
72935,212,334,149.0
144261,346,246,122.0
26703,99,384,104.0
16241,71,253,98.0
143064,344,119,115.0
157410,368,698,149.0
61086,187,47,125.0
192836,424,501,96.0
265716,527,200,195.0
186574,415,183,112.0
115879,296,21,123.0
217553,460,634,174.0
170442,390,234,121.0
35056,122,51,119.0
78896,224,607,103.0
262834,523,244,188.0
243030,496,155,168.0
198135,432,402,123.0
51984,165,683,122.0
195859,429,129,135.0
14089,65,669,119.0
4720,44,407,112.0
234547,484,396,181.0
185199,413,117,167.0
135492,330,196,87.0
3605,41,421,100.0
200060,435,250,131.0
152707,360,560,131.0
227768,475,112,138.0
179408,404,319,142.0
179151,404,23,137.0
121415,305,508,129.0
125454,312,560,165.0
53965,170,522,100.0
82063,231,204,121.0
123506,309,243,105.0
268189,530,475,113.0
230956,479,417,167.0
145883,349,89,109.0
138572,335,651,86.0
24474,93,330,122.0
247756,502,504,196.0
23495,90,581,92.0
123517,309,256,161.0
201586,437,431,135.0
74534,215,593,98.0
173659,395,289,116.0
58181,180,362,104.0
18603,77,525,86.0
161178,375,285,128.0
209592,449,225,145.0
191429,422,397,150.0
138825,336,269,131.0
103732,273,194,89.0
66137,198,80,116.0
182315,408,627,89.0
43346,144,32,89.0
189022,418,661,98.0
171860,392,431,116.0
205342,443,80,123.0
146279,349,588,101.0
33856,118,703,113.0
122676,307,673,113.0
177795,401,665,134.0
155718,366,1,131.0
84198,235,364,152.0
177235,401,27,172.0
263344,524,22,218.0
82237,231,437,118.0
52388,167,7,96.0
130327,321,172,154.0
40570,136,594,90.0
184569,412,170,147.0
138591,335,676,118.0
254517,511,699,179.0
166793,384,406,115.0
157113,368,325,116.0
215798,458,250,134.0
176490,399,638,94.0
16489,71,728,100.0
118820,301,167,105.0
121968,306,499,89.0
5278,46,9,115.0
97395,261,149,113.0
153812,362,475,118.0
126377,314,252,113.0
123093,308,456,98.0
176749,400,211,168.0
86864,240,660,92.0
19227,79,274,122.0
104776,275,196,116.0
104988,275,486,86.0
145026,347,488,115.0
231139,479,602,125.0
235917,486,313,179.0
177577,401,419,128.0
93476,253,559,191.0
72420,211,254,121.0
160936,374,719,127.0
254271,511,453,166.0
68083,202,113,96.0
105832,277,237,185.0
211161,451,448,112.0
185319,413,253,118.0
53360,169,198,139.0
